Date,TweetNumber
2016/09/12,9.081
2016/09/13,9.494
2016/09/14,8.462
2016/09/15,9.494
2016/09/16,9.287
2016/09/17,8.875
2016/09/18,8.875
2016/09/19,8.875
2016/09/20,8.668
2016/09/21,10.319
2016/09/22,8.668
2016/09/23,9.081
2016/09/24,8.049
2016/09/25,8.255
2016/09/26,9.287
2016/09/27,9.081
2016/09/28,9.081
2016/09/29,8.462
2016/09/30,9.081
2016/10/01,9.096
2016/10/02,8.135
2016/10/03,8.787
2016/10/04,8.512
2016/10/05,8.993
2016/10/06,8.993
2016/10/07,9.061
2016/10/08,8.512
2016/10/09,8.89
2016/10/10,9.268
2016/10/11,10.469
2016/10/12,10.675
2016/10/13,10.297
2016/10/14,9.885
2016/10/15,9.371
2016/10/16,8.923
2016/10/17,9.817
2016/10/18,9.268
2016/10/19,8.993
2016/10/20,9.2
2016/10/21,9.061
2016/10/22,9.165
2016/10/23,9.716
2016/10/24,9.784
2016/10/25,10.401
2016/10/26,10.846
2016/10/27,11.499
2016/10/28,12.287
2016/10/29,13.215
2016/10/30,11.156
2016/10/31,11.602
2016/11/01,12.673
2016/11/02,11.646
2016/11/03,12.673
2016/11/04,11.988
2016/11/05,11.303
2016/11/06,11.646
2016/11/07,11.646
2016/11/08,11.303
2016/11/09,14.729
2016/11/10,12.331
2016/11/11,10.961
2016/11/12,10.961
2016/11/13,10.618
2016/11/14,11.303
2016/11/15,11.303
2016/11/16,12.331
2016/11/17,13.358
2016/11/18,13.016
2016/11/19,11.646
2016/11/20,11.988
2016/11/21,11.646
2016/11/22,12.331
2016/11/23,11.646
2016/11/24,11.646
2016/11/25,11.303
2016/11/26,11.303
2016/11/27,11.303
2016/11/28,10.961
2016/11/29,13.016
2016/11/30,11.988
2016/12/01,11.988
2016/12/02,12.673
2016/12/03,11.303
2016/12/04,10.961
2016/12/05,11.988
2016/12/06,11.646
2016/12/07,11.988
2016/12/08,11.646
2016/12/09,10.961
2016/12/10,10.618
2016/12/11,10.961
2016/12/12,11.646
2016/12/13,11.646
2016/12/14,11.988
2016/12/15,11.988
2016/12/16,11.988
2016/12/17,11.646
2016/12/18,10.961
2016/12/19,12.331
2016/12/20,11.646
2016/12/21,15.071
2016/12/22,18.154
2016/12/23,21.236
2016/12/24,16.441
2016/12/25,16.784
2016/12/26,15.756
2016/12/27,16.441
2016/12/28,19.524
2016/12/29,18.154
2016/12/30,18.154
2016/12/31,14.043
2017/01/01,15.348
2017/01/02,26.119
2017/01/03,24.111
2017/01/04,27.987
2017/01/05,33.725
2017/01/06,28.983
2017/01/07,24.453
2017/01/08,21.574
2017/01/09,20.915
2017/01/10,18.725
2017/01/11,21.916
2017/01/12,23.089
2017/01/13,18.549
2017/01/14,17.537
2017/01/15,16.022
2017/01/16,16.001
2017/01/17,17.858
2017/01/18,16.681
2017/01/19,15.508
2017/01/20,15.508
2017/01/21,15.005
2017/01/22,14.663
2017/01/23,14.844
2017/01/24,15
2017/01/25,15.84
2017/01/26,13.988
2017/01/27,14.502
2017/01/28,14.175
2017/01/29,13.656
2017/01/30,13.474
2017/01/31,15.01
2017/02/01,15.935
2017/02/02,16.599
2017/02/03,16.931
2017/02/04,15.271
2017/02/05,15.271
2017/02/06,15.935
2017/02/07,15.271
2017/02/08,17.263
2017/02/09,19.919
2017/02/10,17.263
2017/02/11,16.267
2017/02/12,14.275
2017/02/13,14.607
2017/02/14,14.275
2017/02/15,14.607
2017/02/16,14.939
2017/02/17,15.271
2017/02/18,15.935
2017/02/19,13.943
2017/02/20,15.935
2017/02/21,17.927
2017/02/22,17.927
2017/02/23,19.255
2017/02/24,23.57
2017/02/25,19.919
2017/02/26,16.599
2017/02/27,17.927
2017/02/28,17.927
2017/03/01,20.251
2017/03/02,23.57
2017/03/03,31.538
2017/03/04,23.902
2017/03/05,21.247
2017/03/06,21.247
2017/03/07,22.243
2017/03/08,24.566
2017/03/09,22.575
2017/03/10,31.206
2017/03/11,27.222
2017/03/12,19.919
2017/03/13,21.579
2017/03/14,19.587
2017/03/15,19.587
2017/03/16,19.919
2017/03/17,20.915
2017/03/18,23.57
2017/03/19,20.915
2017/03/20,21.247
2017/03/21,20.251
2017/03/22,20.915
2017/03/23,19.587
2017/03/24,18.923
2017/03/25,21.247
2017/03/26,17.595
2017/03/27,19.255
2017/03/28,17.927
2017/03/29,17.927
2017/03/30,16.931
2017/03/31,16.599
2017/04/01,16.762
2017/04/02,15.932
2017/04/03,17.726
2017/04/04,18.069
2017/04/05,17.083
2017/04/06,17.239
2017/04/07,17.239
2017/04/08,17.405
2017/04/09,16.585
2017/04/10,17.737
2017/04/11,18.722
2017/04/12,17.892
2017/04/13,17.892
2017/04/14,15.932
2017/04/15,15.279
2017/04/16,15.766
2017/04/17,16.751
2017/04/18,18.877
2017/04/19,17.903
2017/04/20,17.073
2017/04/21,16.751
2017/04/22,16.751
2017/04/23,15.766
2017/04/24,17.073
2017/04/25,18.38
2017/04/26,20.527
2017/04/27,20.693
2017/04/28,20.195
2017/04/29,18.556
2017/04/30,18.058
2017/05/01,22.421
2017/05/02,26.32
2017/05/03,25.345
2017/05/04,34.118
2017/05/05,30.219
2017/05/06,24.37
2017/05/07,24.37
2017/05/08,27.295
2017/05/09,37.043
2017/05/10,34.118
2017/05/11,37.043
2017/05/12,42.892
2017/05/13,45.816
2017/05/14,38.992
2017/05/15,51.665
2017/05/16,46.791
2017/05/17,39.967
2017/05/18,35.093
2017/05/19,40.942
2017/05/20,38.992
2017/05/21,42.892
2017/05/22,65.312
2017/05/23,69.211
2017/05/24,74.085
2017/05/25,97.481
2017/05/26,76.035
2017/05/27,67.262
2017/05/28,50.69
2017/05/29,49.715
2017/05/30,48.74
2017/05/31,46.791
2017/06/01,44.841
2017/06/02,39.967
2017/06/03,37.043
2017/06/04,37.043
2017/06/05,41.917
2017/06/06,57.514
2017/06/07,50.69
2017/06/08,44.841
2017/06/09,42.892
2017/06/10,41.917
2017/06/11,42.892
2017/06/12,55.564
2017/06/13,47.766
2017/06/14,47.766
2017/06/15,58.488
2017/06/16,48.74
2017/06/17,39.967
2017/06/18,37.043
2017/06/19,38.992
2017/06/20,40.942
2017/06/21,41.917
2017/06/22,41.917
2017/06/23,40.942
2017/06/24,38.018
2017/06/25,35.093
2017/06/26,44.841
2017/06/27,48.74
2017/06/28,47.766
2017/06/29,40.942
2017/06/30,33.143
2017/07/01,31.989
2017/07/02,33.573
2017/07/03,34.06
2017/07/04,33.573
2017/07/05,34.06
2017/07/06,35.157
2017/07/07,33.512
2017/07/08,31.014
2017/07/09,31.44
2017/07/10,36.619
2017/07/11,42.773
2017/07/12,39.178
2017/07/13,36.68
2017/07/14,36.619
2017/07/15,40.763
2017/07/16,48.075
2017/07/17,43.87
2017/07/18,43.87
2017/07/19,41.25
2017/07/20,45.942
2017/07/21,44.967
2017/07/22,38.752
2017/07/23,38.752
2017/07/24,39.239
2017/07/25,40.824
2017/07/26,40.275
2017/07/27,39.178
2017/07/28,43.809
2017/07/29,37.107
2017/07/30,36.619
2017/07/31,46.978
2017/08/01,77.876
2017/08/02,71.295
2017/08/03,48.261
2017/08/04,43.874
2017/08/05,57.036
2017/08/06,47.165
2017/08/07,54.842
2017/08/08,55.939
2017/08/09,52.649
2017/08/10,48.261
2017/08/11,50.455
2017/08/12,61.424
2017/08/13,74.586
2017/08/14,83.361
2017/08/15,84.457
2017/08/16,71.295
2017/08/17,68.005
2017/08/18,71.295
2017/08/19,63.617
2017/08/20,59.23
2017/08/21,59.23
2017/08/22,68.005
2017/08/23,60.327
2017/08/24,54.842
2017/08/25,57.036
2017/08/26,52.649
2017/08/27,50.455
2017/08/28,53.746
2017/08/29,61.424
2017/08/30,64.714
2017/08/31,69.102
2017/09/01,74.586
2017/09/02,68.005
2017/09/03,61.424
2017/09/04,76.779
2017/09/05,77.876
2017/09/06,68.005
2017/09/07,61.424
2017/09/08,65.811
2017/09/09,53.746
2017/09/10,53.746
2017/09/11,60.327
2017/09/12,60.327
2017/09/13,80.07
2017/09/14,98.716
2017/09/15,109.685
2017/09/16,72.392
2017/09/17,60.327
2017/09/18,70.198
2017/09/19,64.714
